Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2018-10-01,"7.110,00",",",",","7.110,00",0.0,0,0,0
2018-09-28,"7.110,00",",",",","7.110,00",0.0,0,0,0
2018-09-27,"7.110,00",",",",","7.110,00",0.0,0,0,0
2018-09-26,"7.110,00",",",",","7.110,00",0.0,0,0,0
2018-09-25,"7.110,00",",",",","7.110,00",0.0,0,0,0
2018-09-24,"7.110,00",",",",","7.110,00",0.0,0,0,0
2018-09-21,"7.110,00",",",",","7.110,00",0.0,0,0,0
2018-09-20,"7.110,00",",",",","7.110,00",0.0,0,0,0
2018-09-19,"7.110,00",",",",","7.110,00",0.0,0,0,0
2018-09-18,"7.110,00",",",",","7.110,00",0.0,0,0,0
2018-09-17,"7.110,00",",",",","7.110,00",0.0,0,0,0
2018-09-14,"7.110,00",",",",","7.110,00",0.0,0,0,0
2018-09-13,"7.110,00",",",",","7.110,00",0.0,0,0,0
2018-09-12,"7.110,00",",",",","7.110,00",0.0,0,0,0
2018-09-11,"7.110,00",",",",","7.110,00",0.0,0,0,0
2018-09-10,"7.110,00",",",",","7.110,00",0.0,0,0,0
2018-09-07,"7.110,00",",",",","7.110,00",0.0,0,0,0
2018-09-06,"7.110,00","7.110,00","7.110,00","7.110,00",-2.99,40,"284,400","284,400"
2018-09-05,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-09-04,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-09-03,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-08-31,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-08-30,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-08-29,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-08-27,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-08-24,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-08-23,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-08-22,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-08-21,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-08-20,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-08-17,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-08-16,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-08-15,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-08-14,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-08-13,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-08-10,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-08-09,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-08-08,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-08-07,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-08-06,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-08-03,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-08-01,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-07-31,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-07-30,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-07-27,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-07-26,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-07-25,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-07-24,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-07-23,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-07-20,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-07-19,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-07-18,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-07-17,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-07-16,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-07-13,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-07-12,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-07-11,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-07-10,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-07-09,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-07-06,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-07-05,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-07-04,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-07-03,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-07-02,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-06-29,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-06-28,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-06-27,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-06-26,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-06-25,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-06-22,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-06-21,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-06-20,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-06-19,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-06-18,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-06-14,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-06-13,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-06-12,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-06-11,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-06-08,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-06-07,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-06-06,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-06-05,"7.329,00",",",",","7.329,00",0.0,0,0,0
2018-01-02,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-12-28,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-12-27,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-12-26,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-12-25,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-12-22,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-12-21,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-12-20,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-12-19,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-12-18,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-12-15,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-12-14,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-12-13,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-12-12,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-12-11,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-12-07,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-12-06,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-12-05,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-12-04,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-12-01,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-11-30,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-11-29,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-11-28,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-11-27,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-11-24,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-11-23,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-11-22,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-11-21,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-11-20,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-11-17,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-11-16,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-11-15,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-11-14,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-11-13,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-11-10,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-11-09,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-11-08,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-11-07,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-11-06,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-11-03,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-11-02,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-11-01,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-10-31,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-10-30,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-10-27,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-10-26,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-10-25,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-10-24,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-10-20,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-10-19,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-10-18,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-10-17,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-10-16,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-10-13,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-10-12,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-10-10,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-10-09,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-10-06,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-10-05,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-10-04,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-10-03,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-10-02,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-09-29,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-09-28,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-09-27,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-09-26,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-09-25,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-09-22,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-09-21,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-09-20,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-09-19,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-09-18,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-09-15,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-09-14,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-09-13,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-09-12,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-09-11,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-09-07,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-09-06,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-09-05,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-09-04,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-09-01,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-08-31,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-08-30,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-08-29,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-08-25,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-08-24,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-08-23,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-08-22,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-08-21,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-08-18,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-08-17,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-08-16,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-08-15,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-08-14,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-08-11,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-08-10,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-08-09,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-08-08,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-08-07,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-08-04,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-08-03,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-08-01,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-07-31,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-07-28,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-07-27,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-07-26,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-07-25,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-07-24,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-07-21,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-07-20,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-07-19,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-07-18,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-07-17,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-07-14,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-07-13,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-07-12,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-07-11,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-07-10,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-07-07,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-07-06,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-07-05,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-07-04,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-07-03,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-06-30,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-06-29,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-06-28,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-06-27,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-06-23,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-06-22,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-06-21,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-06-20,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-06-19,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-06-16,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-06-15,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-06-14,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-06-13,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-06-12,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-06-09,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-06-08,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-06-07,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-06-06,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-06-05,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-06-01,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-05-31,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-05-30,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-05-29,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-05-26,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-05-25,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-05-23,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-05-22,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-05-19,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-05-18,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-05-17,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-05-16,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-05-15,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-05-12,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-05-11,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-05-10,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-05-09,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-05-08,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-05-05,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-05-04,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-05-03,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-05-02,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-04-28,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-04-27,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-04-26,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-04-25,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-04-24,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-04-21,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-04-20,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-04-19,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-04-18,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-04-13,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-04-12,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-04-11,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-04-10,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-04-07,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-04-06,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-04-05,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-04-04,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-04-03,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-03-31,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-03-30,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-03-29,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-03-28,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-03-27,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-03-24,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-03-23,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-03-22,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-03-21,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-03-20,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-03-17,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-03-16,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-03-15,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-03-14,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-03-13,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-03-10,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-03-09,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-03-08,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-03-07,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-03-06,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-03-03,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-03-02,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-03-01,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-02-28,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-02-27,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-02-24,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-02-23,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-02-22,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-02-21,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-02-20,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-02-17,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-02-16,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-02-15,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-02-14,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-02-13,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-02-10,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-02-09,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-02-08,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-02-07,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-02-06,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-02-03,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-02-02,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-02-01,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-01-31,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-01-30,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-01-27,"7.329,00",",",",","7.329,00",0.0,0,0,0
2017-01-26,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-12-29,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-12-28,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-12-27,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-12-26,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-12-23,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-12-22,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-12-21,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-12-20,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-12-19,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-12-16,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-12-15,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-12-14,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-12-13,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-12-12,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-12-09,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-12-07,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-12-06,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-12-05,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-12-02,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-12-01,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-11-29,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-11-28,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-11-25,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-11-24,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-11-23,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-11-22,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-11-21,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-11-18,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-11-17,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-11-16,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-11-15,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-11-14,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-11-11,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-11-10,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-11-09,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-11-08,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-11-07,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-11-04,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-11-03,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-11-02,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-11-01,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-10-31,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-10-28,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-10-27,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-10-26,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-10-25,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-10-21,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-10-20,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-10-19,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-10-18,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-10-17,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-10-14,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-10-13,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-10-12,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-10-10,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-10-07,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-10-06,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-10-05,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-10-04,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-10-03,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-09-30,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-09-29,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-09-28,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-09-27,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-09-26,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-09-23,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-09-22,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-09-21,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-09-20,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-09-19,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-09-16,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-09-15,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-09-14,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-09-13,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-09-12,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-09-09,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-09-07,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-09-06,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-09-05,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-09-02,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-09-01,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-08-31,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-08-30,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-08-29,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-08-26,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-08-25,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-08-24,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-08-23,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-08-22,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-08-19,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-08-18,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-08-17,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-08-16,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-08-15,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-08-12,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-08-11,"7.329,00",",",",","7.329,00",0.0,0,0,0
2016-08-10,"7.329,00",",",",","7.329,00",0.0,0,0,0
